"Var1" "Freq"
"821" "2020-04-04" 3
"822" "2020-04-05" 3
"823" "2020-04-06" 5
"824" "2020-04-07" 3
"825" "2020-04-08" 3
"826" "2020-04-09" 6
"827" "2020-04-10" 2
"828" "2020-04-11" 5
"829" "2020-04-12" 2
"830" "2020-04-13" 4
"831" "2020-04-14" 3
"832" "2020-04-15" 11
"833" "2020-04-17" 3
"834" "2020-04-18" 6
"835" "2020-04-19" 5
"836" "2020-04-20" 3
"837" "2020-04-21" 3
"838" "2020-04-22" 4
"839" "2020-04-23" 2
"840" "2020-04-24" 4
"841" "2020-04-26" 1
"842" "2020-04-27" 2
"843" "2020-04-28" 4
"844" "2020-04-29" 8
"845" "2020-04-30" 5
"846" "2020-05-01" 3
"847" "2020-05-03" 4
"848" "2020-05-04" 4
"849" "2020-05-05" 5
"850" "2020-05-06" 2
"851" "2020-05-07" 10
"852" "2020-05-08" 4
"853" "2020-05-09" 4
"854" "2020-05-10" 8
"855" "2020-05-11" 5
"856" "2020-05-12" 1
"857" "2020-05-13" 2
"858" "2020-05-15" 5
"859" "2020-05-16" 4
"860" "2020-05-17" 8
"861" "2020-05-18" 5
"862" "2020-05-19" 6
"863" "2020-05-20" 7
"864" "2020-05-21" 6
"865" "2020-05-22" 6
"866" "2020-05-23" 2
"867" "2020-05-24" 7
"868" "2020-05-25" 2
"869" "2020-05-26" 1
"870" "2020-05-27" 3
"871" "2020-05-28" 5
"872" "2020-05-29" 5
"873" "2020-05-30" 5
"874" "2020-05-31" 3
"875" "2020-06-01" 8
"876" "2020-06-02" 2
"877" "2020-06-03" 5
"878" "2020-06-04" 6
"879" "2020-06-05" 2
"880" "2020-06-06" 7
"881" "2020-06-07" 5
"882" "2020-06-08" 14
"883" "2020-06-09" 6
"884" "2020-06-10" 1
"885" "2020-06-11" 3
"886" "2020-06-12" 3
"887" "2020-06-13" 4
"888" "2020-06-14" 2
"889" "2020-06-15" 5
"890" "2020-06-16" 3
"891" "2020-06-17" 5
"892" "2020-06-18" 5
"893" "2020-06-19" 8
"894" "2020-06-20" 4
"895" "2020-06-21" 2
"896" "2020-06-22" 3
"897" "2020-06-23" 2
"898" "2020-06-24" 8
"899" "2020-06-25" 7
"900" "2020-06-26" 6
"901" "2020-06-27" 8
"902" "2020-06-28" 3
"903" "2020-06-29" 9
"904" "2020-06-30" 8
"905" "2020-07-01" 10
"906" "2020-07-02" 11
"907" "2020-07-03" 4
"908" "2020-07-04" 6
"909" "2020-07-05" 4
"910" "2020-07-06" 3
"911" "2020-07-07" 4
"912" "2020-07-08" 4
"913" "2020-07-09" 4
"914" "2020-07-10" 3
"915" "2020-07-11" 4
"916" "2020-07-12" 2
"917" "2020-07-13" 1
"918" "2020-07-14" 7
"919" "2020-07-15" 9
"920" "2020-07-16" 3
"921" "2020-07-17" 6
"922" "2020-07-18" 2
"923" "2020-07-19" 6
"924" "2020-07-20" 6
"925" "2020-07-21" 5
"926" "2020-07-22" 4
"927" "2020-07-23" 3
"928" "2020-07-24" 7
"929" "2020-07-25" 5
"930" "2020-07-26" 2
"931" "2020-07-27" 2
"932" "2020-07-28" 7
"933" "2020-07-29" 4
"934" "2020-07-30" 2
"935" "2020-07-31" 6
