 "Train Predictions" Actuals
1058 5.1418633 1
1059 4.558761 6
1060 4.426991 4
1061 3.9422586 3
1062 4.2257924 1
1063 4.3094435 5
1064 4.965003 8
1065 4.802121 1
1066 4.405173 2
1067 4.454501 6
1068 5.1505084 7
1069 5.1842995 6
1070 4.6811166 2
1071 5.024594 7
1072 5.545259 4
1073 5.4047513 8
1074 5.389998 11
1075 5.4369006 3
1076 5.5149817 1
1077 5.219974 5
1078 5.4992948 5
1079 5.361089 6
1080 4.662168 5
1081 4.8919225 9
1082 5.5704517 6
1083 5.562088 1
1084 5.301456 7
1085 5.497878 5
1086 5.5175924 4
1087 5.1164613 7
1088 5.091615 3
1089 5.3889318 4
1090 5.2066593 5
1091 5.217903 2
1092 5.088972 3
1093 4.6413245 4
1094 4.7978153 6
1095 4.8840632 4
1096 4.6216197 4
1097 4.9726453 4
1098 5.1507273 3
1099 5.121257 2
1100 4.7074475 4
1101 4.6901174 3
1102 4.5038033 4
1103 4.385286 1
1104 4.1721244 1
1105 4.2051196 7
1106 4.2673664 2
1107 4.083771 4
1108 3.9572186 2
1109 4.3871584 3
1110 4.8603435 3
1111 4.127254 9
1112 4.780044 4
1113 4.6616445 3
1114 4.9467034 4
1115 5.1709366 4
1116 5.359445 1
1117 4.542395 3
1118 4.40976 3
1119 4.4162827 5
1120 4.3378634 2
1121 3.958494 4
1122 4.579247 6
1123 4.857369 4
1124 4.970073 2
1125 4.6385636 7
1126 5.2027197 4
1127 5.181438 7
1128 5.123242 4
1129 5.1189876 2
1130 5.269331 2
1131 4.9259977 4
1132 4.996224 4
1133 4.4122143 3
1134 4.1637506 3
1135 4.4376817 2
1136 4.5974736 4
1137 4.5306835 12
1138 4.8022304 5
1139 4.937346 9
1140 5.372725 4
1141 5.5690727 8
1142 5.8672123 2
1143 5.3770404 2
1144 5.3146496 3
1145 4.9125123 2
1146 4.7581186 3
1147 3.699689 5
1148 4.1153326 6
1149 4.599819 3
1150 4.6413646 3
1151 4.9295425 4
1152 5.1278453 3
1153 4.935496 2
1154 4.36892 4
1155 4.4979835 3
1156 4.5038033 2
1157 4.171781 6
1158 4.4411855 3
1159 4.6616836 4
1160 4.6169934 2
1161 4.5919714 3
1162 4.871141 5
1163 4.5500526 6
1164 4.7917724 5
1165 4.801054 4
1166 5.1266165 3
1167 5.237468 2
1168 5.0605893 5
1169 4.926562 5
1170 4.7591753 7
1171 4.885979 2
1172 4.8546147 2
1173 5.063746 3
1174 4.9626975 6
1175 4.9696546 3
1176 4.206141 5
1177 4.6696954 2
1178 4.829162 3
1179 4.9526744 3
1180 4.527284 2
1181 4.4498434 1
1182 3.6808379 6
1183 4.173056 8
1184 4.4909024 2
1185 4.4281983 3
1186 4.7769556 3
1187 5.1962705 3
1188 4.95776 10
1189 4.5830398 5
1190 4.9371185 5
1191 5.177854 3
1192 5.2934766 7
1193 5.669995 3
1194 5.1681156 4
1195 5.1142783 2
1196 4.856322 2
1197 4.892611 8
1198 4.634124 4
1199 4.7011204 4
1200 4.685513 4
1201 5.0501113 4
1202 5.355407 3
1203 4.880145 6
1204 5.026966 4
1205 4.9886117 3
1206 4.9179 7
1207 5.1452127 3
1208 5.183935 2
1209 4.8206954 4
1210 4.874974 5
1211 5.10563 3
1212 4.484876 2
1213 4.4514914 3
1214 4.732896 3
1215 4.591619 2
1216 4.007874 4
1217 4.063594 6
1218 4.5503573 4
1219 4.648755 2
1220 4.6385636 2
1221 4.8417883 3
1222 4.790564 8
1223 4.59185 3
1224 4.3512177 4
1225 4.7498765 2
1226 4.9335933 8
1227 5.3815103 7
1228 5.011762 3
1229 5.061757 5
1230 5.2317586 2
1231 5.3580666 7
1232 5.3168325 4
1233 4.9006243 6
1234 5.1951118 5
1235 5.146505 2
1236 5.273771 3
1237 5.009044 2
1238 4.8929887 3
1239 4.444482 7
1240 4.270716 3
1241 4.5001326 7
1242 4.8778105 6
1243 5.290052 5
1244 5.481051 5
1245 5.332583 7
1246 5.6475596 1
1247 5.203371 5
1248 5.2195516 1
1249 4.8793025 9
1250 5.086622 9
1251 4.790993 9
1252 5.454795 5
1253 5.4291453 4
1254 5.7275434 1
1255 5.422667 6
1256 5.433577 4
1257 4.918568 10
1258 5.0358644 9
1259 5.231049 3
1260 5.4766326 5
1261 5.533867 6
1262 5.741427 5
1263 5.524869 4
1264 5.1266165 3
1265 5.237468 2
1266 5.06059 4
